Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
SP1;21.11.2004;Sociedad;Ath Bilbao;3;2;H;0;2;A;lut.25;03.lut;03.sty;02.sty;03.lut;03.lut;lut.25;03.lut;03.sty;02.lut;02.wrz;3;02.sty;03.lut;3;02.lut;03.lut;3;lut.15;02.wrz;03.lut;02.maj;sty.65;lut.15;sty.66;sty.95;sty.85;-0.25;sty.96;sty.88;-0.25;1.975;1.925;-0.25
SP1;21.11.2004;Zaragoza;Mallorca;0;1;A;0;1;A;sty.66;03.kwi;04.maj;01.cze;03.maj;05.lut;sty.73;03.kwi;kwi.85;01.lip;03.lut;04.lut;sty.62;mar.25;5;sty.67;03.kwi;5;sty.61;03.mar;5;sty.95;sty.75;2;01.sie;sty.95;sty.75;-0.75;sty.72;02.gru;-0.5;2;01.wrz;-0.75
SP1;27.11.2004;Ath Bilbao;Santander;3;0;H;2;0;H;01.wrz;mar.25;03.maj;sty.95;mar.25;mar.55;01.wrz;03.mar;4;sty.85;03.sty;03.cze;01.sie;03.lut;4;sty.91;mar.25;mar.75;sty.83;03.lut;mar.75;2;sty.71;lut.15;sty.66;01.wrz;sty.81;-0.5;sty.88;sty.96;-0.5;01.wrz;2;-0.5
SP1;27.11.2004;Espanol;Ath Madrid;2;1;H;0;0;D;lut.25;03.lut;03.sty;2;mar.25;03.kwi;02.lut;mar.25;mar.15;02.sty;3;03.sty;2;03.lut;03.lut;02.lut;03.sty;03.sty;02.maj;03.sty;03.lut;02.maj;sty.65;02.kwi;sty.53;sty.95;sty.85;-0.25;sty.94;01.wrz;-0.25;1.975;1.925;-0.25
SP1;27.11.2004;Getafe;Barcelona;1;2;A;0;2;A;05.maj;03.kwi;sty.57;05.lut;03.maj;01.cze;05.maj;03.kwi;sty.65;04.kwi;03.mar;sty.65;6;03.kwi;01.maj;05.maj;03.cze;sty.57;05.maj;03.mar;sty.57;sty.95;sty.75;2;01.sie;01.wrz;01.wrz;0.75;;;;1.875;1.975;1
SP1;28.11.2004;Betis;Villarreal;2;1;H;2;0;H;sty.83;03.sty;4;sty.85;mar.25;mar.95;sty.93;03.lut;4;01.wrz;03.sty;03.maj;sty.73;03.lut;kwi.33;sty.91;03.sty;4;01.sie;03.sty;4;2;sty.71;02.lut;sty.65;sty.93;sty.78;-0.5;01.lip;lut.14;-0.25;02.maj;sty.85;-0.5
SP1;28.11.2004;La Coruna;Sociedad;2;2;D;2;1;H;sty.57;03.kwi;05.maj;sty.55;mar.55;05.lip;sty.65;03.kwi;05.maj;sty.55;03.maj;04.sie;sty.62;mar.25;5;sty.57;03.cze;05.maj;sty.61;03.mar;5;sty.95;sty.75;02.sty;01.lip;01.wrz;01.wrz;-0.75;sty.92;sty.92;-0.75;sty.95;sty.95;-0.75
SP1;28.11.2004;Malaga;Albacete;0;2;A;0;1;A;01.wrz;mar.25;03.maj;01.sie;03.mar;04.sty;sty.93;03.lut;4;01.wrz;03.sty;03.maj;01.sie;mar.25;mar.75;sty.83;mar.25;04.lut;sty.72;03.lut;kwi.33;02.maj;sty.65;02.lut;sty.65;sty.87;sty.84;-0.5;sty.82;02.lut;-0.5;sty.85;02.maj;-0.5
SP1;28.11.2004;Numancia;Zaragoza;2;1;H;2;1;H;02.maj;03.lut;02.maj;02.kwi;03.lut;02.lip;lut.55;03.lut;lut.65;02.cze;02.sie;02.cze;02.maj;03.lut;02.maj;02.cze;03.lut;02.maj;02.kwi;03.sty;02.cze;lut.15;01.cze;lut.37;sty.55;01.wrz;01.wrz;0;sty.96;sty.88;0;sty.95;sty.95;0
SP1;28.11.2004;Osasuna;Sevilla;4;1;H;1;1;D;lut.25;03.lut;02.sie;lut.15;03.lut;03.sty;02.lut;mar.25;mar.15;02.sty;3;03.sty;02.sty;03.lut;3;02.mar;03.lut;lut.88;lut.15;03.sty;3;02.maj;sty.65;lut.25;sty.61;sty.95;sty.85;-0.25;02.cze;sty.78;-0.25;02.sty;01.sie;-0.25
