Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;17.10.2004;Fiorentina;Siena;0;0;D;0;0;D;sty.72;3;5;01.lip;3;05.maj;sty.73;03.sty;5;sty.75;03.sty;04.lut;sty.73;lut.88;5;sty.73;03.sty;5;sty.72;02.wrz;5;2;sty.71;lut.15;sty.66;sty.73;sty.91;-0.5;01.wrz;sty.94;-0.75;01.wrz;2;-0.75
I1;17.10.2004;Inter;Udinese;3;1;H;2;0;H;sty.44;mar.75;06.maj;01.kwi;03.lip;08.maj;01.kwi;03.wrz;07.lip;sty.45;03.sie;05.kwi;sty.44;03.kwi;7;sty.44;mar.75;7;sty.44;03.maj;7;sty.75;sty.95;sty.85;sty.95;02.sie;sty.54;-1.5;sty.92;sty.92;-1;sty.95;sty.95;-1
I1;17.10.2004;Lazio;Chievo;0;1;A;0;0;D;01.wrz;03.sty;mar.75;01.wrz;03.maj;4;sty.85;03.sty;04.lut;sty.85;03.sty;03.cze;01.sie;3;kwi.33;sty.85;03.sty;04.lut;01.sie;02.wrz;04.maj;01.wrz;sty.79;02.maj;sty.75;sty.85;sty.78;-0.5;2;sty.84;-0.5;2.025;1.875;-0.5
I1;17.10.2004;Lecce;Palermo;2;0;H;0;0;D;lut.25;3;3;02.maj;3;lut.75;02.mar;lut.95;03.maj;02.kwi;02.sie;02.sie;02.lut;02.sie;03.lut;lut.25;3;03.sty;02.lut;02.sie;03.lut;sty.75;sty.95;01.wrz;01.wrz;02.mar;01.maj;-0.5;sty.78;02.cze;0;1.775;2.125;0
I1;17.10.2004;Reggina;Sampdoria;0;1;A;0;1;A;02.maj;02.kwi;lut.87;lut.55;lut.75;02.wrz;02.maj;lut.75;lut.95;02.kwi;02.sie;02.sie;lut.38;02.sie;lut.88;02.maj;02.sie;02.wrz;lut.37;02.lip;3;02.maj;sty.65;lut.25;sty.61;02.maj;sty.42;-0.5;02.sty;sty.74;-0.25;sty.75;lut.15;0
I1;23.10.2004;Atalanta;Cagliari;2;2;D;2;2;D;02.lut;3;3;02.lut;lut.75;mar.55;02.lut;lut.85;03.kwi;01.wrz;3;03.cze;02.sty;lut.75;03.maj;02.lut;lut.88;03.kwi;02.sty;lut.87;03.mar;sty.85;sty.85;02.sty;01.lip;02.lut;sty.55;-0.5;sty.84;2;-0.25;sty.85;02.maj;-0.25
I1;23.10.2004;Siena;Juventus;0;3;A;0;0;D;05.maj;03.lut;sty.61;5;mar.35;sty.65;05.maj;03.lut;sty.65;04.cze;03.kwi;01.cze;5;mar.25;sty.62;05.maj;03.mar;sty.62;05.maj;03.sty;sty.61;sty.95;sty.75;2;01.sie;02.lut;sty.65;0.5;02.gru;sty.72;0.75;lut.15;sty.75;0.75
I1;24.10.2004;Chievo;Reggina;0;0;D;0;0;D;sty.72;03.lut;04.maj;01.lip;03.maj;maj.45;sty.73;3;05.mar;01.lip;03.sty;04.kwi;sty.73;lut.88;5;sty.73;03.lut;kwi.75;sty.72;02.wrz;5;2;sty.71;lut.15;sty.66;sty.73;sty.92;-0.5;02.sie;sty.76;-0.75;02.sty;01.sie;-0.75
I1;24.10.2004;Livorno;Bologna;1;0;H;0;0;D;02.cze;02.sie;02.lip;lut.65;lut.75;lut.75;lut.55;02.sie;lut.85;02.maj;02.lip;02.sie;02.maj;lut.88;lut.62;02.cze;02.sie;02.sie;02.maj;02.sie;lut.75;2;sty.71;02.sty;01.lip;lut.55;sty.41;-0.5;sty.72;02.gru;0;2;01.wrz;-0.25
I1;24.10.2004;Messina;Lecce;1;4;A;1;3;A;02.lut;3;3;lut.25;02.wrz;03.lut;02.lut;lut.95;mar.25;02.lut;02.sie;03.sty;02.sty;3;03.lut;02.lut;3;mar.25;02.sty;lut.87;03.mar;sty.85;sty.85;01.sie;2;02.lut;sty.55;-0.5;sty.94;01.wrz;-0.25;01.wrz;2;-0.25
I1;24.10.2004;Milan;Inter;0;0;D;0;0;D;lut.37;3;03.sty;lut.45;02.wrz;lut.85;02.kwi;3;lut.85;02.kwi;02.sie;02.sie;02.lut;3;3;02.mar;lut.88;03.lut;02.mar;02.wrz;02.wrz;01.wrz;sty.79;2;01.sie;02.kwi;sty.46;-0.5;02.sie;sty.76;-0.25;lut.15;sty.75;-0.25
I1;24.10.2004;Parma;Lazio;3;1;H;2;1;H;02.kwi;3;lut.75;02.maj;02.sie;02.wrz;02.kwi;lut.85;3;02.kwi;02.sie;02.sie;lut.25;3;lut.88;02.kwi;lut.88;3;02.kwi;lut.87;02.sie;sty.95;sty.75;lut.15;sty.66;02.kwi;sty.46;-0.5;02.cze;sty.78;-0.25;sty.75;lut.15;0
I1;24.10.2004;Roma;Palermo;1;1;D;0;1;A;sty.61;03.lut;05.maj;sty.65;mar.35;05.sty;sty.65;mar.35;05.sty;01.lip;03.lut;04.lut;sty.62;mar.25;5;sty.62;03.mar;05.maj;sty.61;03.sty;05.maj;sty.85;sty.85;sty.95;sty.85;sty.65;02.lut;-0.5;sty.96;sty.88;-0.75;2;01.wrz;-0.75
I1;24.10.2004;Sampdoria;Brescia;0;1;A;0;0;D;sty.66;03.lut;5;01.cze;03.lut;06.sty;sty.65;03.lut;05.maj;sty.65;03.lut;04.cze;sty.62;mar.25;5;sty.67;03.mar;5;sty.66;03.sty;5;sty.85;sty.85;01.wrz;01.wrz;sty.65;02.lut;-0.5;sty.84;2;-0.75;sty.85;02.maj;-0.75
I1;24.10.2004;Udinese;Fiorentina;2;2;D;1;1;D;2;lut.87;mar.75;01.wrz;3;04.sty;01.wrz;lut.95;kwi.25;01.wrz;3;03.cze;sty.91;lut.88;4;2;lut.88;4;01.wrz;lut.87;4;2;sty.71;02.lut;sty.65;01.wrz;sty.74;-0.5;02.cze;sty.78;-0.5;2.075;1.825;-0.5
I1;27.10.2004;Bologna;Udinese;0;1;A;0;0;D;2;3;03.maj;lut.15;02.sie;mar.55;lut.15;3;mar.25;02.sty;02.sie;03.mar;sty.91;03.sty;03.cze;02.sty;3;03.maj;2;lut.87;03.cze;sty.95;sty.75;lut.15;sty.65;lut.15;sty.56;-0.5;sty.96;sty.88;-0.25;2;01.wrz;-0.25
I1;27.10.2004;Brescia;Siena;0;1;A;0;1;A;01.sie;3;kwi.33;sty.75;3;5;sty.75;3;5;sty.75;03.sty;04.lut;01.sie;03.lut;4;01.sie;03.sty;04.cze;01.sie;02.wrz;04.maj;sty.95;sty.75;02.maj;sty.75;sty.75;sty.88;-0.5;02.sty;sty.74;-0.75;01.wrz;2;-0.5
I1;27.10.2004;Cagliari;Parma;2;1;H;1;0;H;02.lut;3;03.sty;lut.25;02.sie;03.mar;lut.15;3;mar.25;01.wrz;03.sty;03.maj;2;3;03.kwi;02.sty;03.sty;03.mar;02.sty;3;03.lut;sty.85;sty.85;sty.95;sty.85;lut.15;sty.56;-0.5;sty.98;sty.86;-0.25;2.075;1.825;-0.25
I1;27.10.2004;Chievo;Sampdoria;0;2;A;0;2;A;2;3;03.maj;lut.35;02.lip;mar.25;lut.15;3;03.mar;2;02.sie;03.cze;02.sty;3;03.lut;02.maj;3;03.cze;02.maj;lut.87;03.maj;lut.15;01.cze;02.lut;01.cze;02.lut;sty.54;-0.5;sty.92;sty.92;-0.25;02.maj;sty.85;-0.25
I1;27.10.2004;Lazio;Messina;2;0;H;1;0;H;sty.72;mar.25;kwi.33;sty.75;3;5;01.sie;03.sty;04.maj;sty.75;03.sty;04.lut;01.sie;3;kwi.33;01.sie;03.sty;04.maj;sty.72;03.sty;04.maj;sty.85;sty.85;2;01.sie;01.sie;sty.84;-0.5;sty.84;2;-0.5;01.wrz;2;-0.5
I1;27.10.2004;Lecce;Inter;2;2;D;1;2;A;03.mar;03.sty;2;04.sty;03.mar;01.sie;03.cze;03.mar;sty.93;03.kwi;02.wrz;2;03.lut;03.lut;2;mar.75;03.sty;sty.91;mar.75;02.wrz;sty.95;01.cze;lut.15;01.lip;02.sty;sty.72;sty.93;0.5;01.wrz;sty.94;0.5;1.925;1.975;0.5
I1;27.10.2004;Milan;Atalanta;3;0;H;0;0;D;sty.25;5;9;sty.21;05.lut;12;sty.22;5;12;sty.27;04.lut;9;sty.22;5;10;sty.25;5;10.maj;01.lut;5;11;sty.71;2;sty.85;sty.95;sty.22;mar.53;-0.5;01.wrz;sty.94;-1.5;1.975;1.925;-1.5
