Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
D1;28.08.2004;Hertha;Mainz;1;1;D;0;0;D;13;8;20;24;3;4;1;1;0;0;sty.53;03.kwi;6;01.maj;03.sie;05.sie;01.maj;03.wrz;cze.35;01.maj;03.lip;5;sty.53;03.maj;05.maj;01.maj;03.cze;06.maj;01.maj;03.kwi;6;01.cze;lut.15;sty.57;02.mar;sty.75;2;-1;02.kwi;01.sie;-1.25;2;01.wrz;-1.25
D1;28.08.2004;Kaiserslautern;Stuttgart;2;3;A;2;1;H;10;18;26;13;2;5;3;0;0;0;lut.75;mar.25;lut.25;lut.75;03.mar;02.mar;lut.75;mar.35;02.kwi;02.maj;3;02.maj;lut.75;03.lut;lut.25;02.sie;mar.25;02.mar;lut.62;03.lut;02.mar;sty.75;sty.95;01.sie;2;sty.85;2;0.25;sty.92;sty.92;0.25;01.wrz;2;0.25
D1;28.08.2004;Leverkusen;Bayern Munich;4;1;H;1;0;H;17;16;15;21;7;3;2;1;0;0;02.wrz;03.lut;lut.37;03.lut;03.mar;02.maj;mar.15;mar.25;02.lut;02.cze;3;02.kwi;lut.75;03.lut;lut.25;lut.88;03.lut;02.mar;lut.62;03.sty;lut.37;sty.55;lut.25;01.lip;02.sty;01.wrz;sty.95;0.25;sty.94;01.wrz;0.25;1.925;1.975;0.25
D1;28.08.2004;Schalke 04;Hansa Rostock;0;2;A;0;1;A;19;9;18;19;6;4;2;2;1;0;01.maj;03.maj;6;01.kwi;04.lut;06.cze;01.maj;mar.85;06.maj;sty.55;03.maj;04.sie;01.maj;03.kwi;6;sty.44;mar.75;7;sty.44;03.cze;06.maj;01.cze;lut.15;sty.66;lut.15;sty.95;01.wrz;-1.25;sty.94;01.wrz;-1.25;1.975;1.925;-1.25
D1;29.08.2004;Dortmund;Hannover;1;1;D;1;0;H;11;11;11;16;0;7;3;1;0;0;01.maj;03.maj;6;01.kwi;04.lut;06.cze;01.maj;03.wrz;cze.35;sty.45;03.sie;05.kwi;01.maj;03.kwi;6;sty.44;mar.75;7;01.maj;03.kwi;6;01.cze;lut.15;sty.57;02.mar;02.maj;01.sie;-1.25;02.sty;sty.74;-1.25;02.sty;01.sie;-1.25
D1;29.08.2004;Werder Bremen;Wolfsburg;1;2;A;0;0;D;26;7;21;23;7;0;2;1;0;0;sty.44;mar.75;06.maj;sty.45;04.sty;6;01.maj;03.wrz;cze.35;01.cze;03.kwi;04.cze;sty.44;03.cze;06.maj;sty.44;mar.75;7;sty.44;03.cze;06.maj;sty.55;lut.25;sty.61;lut.25;02.maj;01.sie;-1.25;02.kwi;01.sie;-1.25;02.maj;sty.85;-1.25
D1;11.09.2004;Bayern Munich;Bielefeld;1;0;H;1;0;H;14;5;15;19;3;3;1;1;0;0;01.lut;5;12;01.lut;05.cze;11;01.lut;6;13;01.lut;5;10;sty.25;04.maj;10;01.lut;05.maj;12;sty.25;04.sie;08.maj;01.maj;lut.35;sty.53;02.kwi;02.maj;01.lip;-2;sty.82;02.lut;-1.75;01.sie;02.sty;-1.75
D1;11.09.2004;Bochum;Dortmund;2;2;D;1;0;H;11;15;18;24;3;7;1;4;0;0;2.375;03.lut;2.625;02.maj;03.mar;02.maj;02.maj;03.lut;02.lip;02.kwi;3;02.cze;2.375;03.lut;02.cze;02.kwi;03.lut;02.lip;lut.37;3;02.lip;sty.71;2;sty.85;sty.95;02.sty;sty.67;-0.25;sty.78;02.cze;0;1.875;2.025;0
D1;11.09.2004;Mainz;Leverkusen;2;0;H;0;0;D;11;6;10;18;2;4;0;1;0;0;03.maj;mar.25;1.909;mar.95;03.kwi;01.sie;03.wrz;03.kwi;01.wrz;03.lut;03.sty;2;03.maj;03.lut;1.909;03.kwi;mar.25;2;03.mar;03.lut;sty.95;01.cze;lut.15;sty.65;02.lut;lut.15;sty.65;0.25;sty.94;01.wrz;0.5;1.875;2.025;0.5
D1;11.09.2004;M'gladbach;Werder Bremen;3;1;H;1;0;H;13;16;24;18;3;5;3;2;0;0;2.875;03.lut;02.lut;03.lut;03.mar;02.maj;03.sty;03.lut;lut.25;02.lip;3;02.mar;02.sie;03.lut;02.lut;3;03.lut;02.lut;02.sie;03.lut;02.lut;sty.65;02.maj;01.lip;02.sty;01.wrz;sty.95;0.25;sty.92;sty.92;0.25;01.wrz;2;0.25
D1;11.09.2004;Nurnberg;Hertha;0;0;D;0;0;D;21;12;25;14;7;5;0;2;0;0;lut.25;03.lut;02.sie;02.kwi;03.mar;02.cze;02.kwi;03.lut;lut.85;02.kwi;3;02.cze;lut.25;03.lut;lut.75;02.mar;mar.25;02.sie;lut.37;03.sty;lut.62;sty.71;2;sty.75;02.maj;02.sty;sty.67;-0.25;sty.78;02.cze;0;01.sie;02.sty;0
D1;11.09.2004;Stuttgart;Hamburg;2;0;H;1;0;H;11;14;20;20;4;5;1;3;0;0;1.571;03.cze;5;01.maj;03.wrz;05.cze;sty.65;03.kwi;05.cze;01.cze;03.kwi;04.cze;1.571;03.maj;5;sty.61;03.kwi;05.maj;sty.57;03.maj;5;sty.65;02.maj;sty.75;02.maj;02.sty;sty.67;-1;sty.74;02.sty;-0.75;1.775;2.125;-0.75
D1;11.09.2004;Wolfsburg;Schalke 04;3;0;H;2;0;H;20;18;20;20;6;4;3;5;0;0;02.mar;03.lut;02.lip;02.kwi;03.mar;02.cze;02.mar;mar.25;3;02.lut;3;02.wrz;02.lut;mar.25;lut.75;lut.25;03.lut;02.wrz;02.lut;03.lut;02.sie;sty.71;2;01.lip;02.sty;01.lip;02.maj;0;sty.98;sty.86;-0.25;2.025;1.875;-0.25
