Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;GBAHH;GBAHA;GBAH;B365AHH;B365AHA;B365AH
F1;12.05.2004;Lyon;Bastia;1;0;H;1;0;H;sty.22;5;9;sty.15;05.maj;11;sty.22;04.sie;09.maj;sty.25;04.maj;10;sty.25;5;08.maj;sty.25;5;9;sty.25;04.maj;10;sty.83;sty.83;sty.15;mar.67;-0.5;;;
F1;12.05.2004;Marseille;Montpellier;1;1;D;1;0;H;sty.66;03.cze;4;01.maj;03.maj;maj.25;sty.85;03.lut;03.maj;sty.62;03.maj;04.maj;sty.73;03.maj;4;sty.72;03.maj;4;01.lip;03.maj;4;2;sty.65;01.maj;02.sty;-0.5;;;
F1;12.05.2004;Nantes;Guingamp;0;0;D;0;0;D;sty.66;03.kwi;kwi.33;01.cze;03.kwi;04.maj;sty.65;03.mar;04.kwi;sty.67;mar.25;04.maj;sty.67;03.kwi;04.maj;sty.66;03.kwi;04.maj;sty.57;03.maj;5;2;sty.65;01.cze;sty.94;-0.5;;;
F1;12.05.2004;Nice;Toulouse;1;1;D;0;1;A;lut.37;mar.25;02.maj;02.kwi;mar.15;lut.45;02.kwi;3;02.cze;02.kwi;mar.25;02.maj;lut.38;03.sty;02.lip;lut.37;03.sty;02.lip;02.kwi;02.wrz;lut.75;02.sty;01.cze;02.kwi;sty.38;-0.5;;;
F1;12.05.2004;Rennes;Metz;0;0;D;0;0;D;lut.25;03.lut;lut.75;lut.25;mar.15;lut.65;02.mar;02.lip;3;sty.91;03.lut;03.maj;lut.25;03.sty;lut.88;lut.25;03.sty;lut.87;02.lut;3;3;02.sty;01.cze;lut.25;sty.44;-0.5;;;
F1;12.05.2004;Strasbourg;Monaco;0;0;D;0;0;D;03.kwi;mar.25;01.wrz;mar.75;mar.25;sty.77;03.maj;03.sty;01.wrz;03.maj;03.lut;sty.91;03.cze;03.lut;sty.91;03.cze;03.lut;01.wrz;03.kwi;mar.25;01.wrz;02.sty;01.cze;sty.74;sty.77;0.5;;;
F1;15.05.2004;Auxerre;Nantes;2;0;H;2;0;H;sty.83;3;4;01.wrz;3;03.sie;sty.85;03.sty;03.cze;;;;sty.91;03.sty;03.cze;01.wrz;03.sty;03.cze;01.wrz;03.lut;03.maj;02.sty;01.cze;01.wrz;sty.68;-0.5;01.wrz;2;-0.5
F1;15.05.2004;Guingamp;Nice;1;2;A;1;0;H;sty.61;03.sty;05.maj;sty.62;03.sty;05.maj;sty.55;03.kwi;5;;;;sty.62;03.sty;05.maj;sty.61;03.sty;05.maj;sty.61;03.sty;05.maj;2;sty.65;sty.62;sty.98;-0.5;;;
F1;15.05.2004;Lens;Ajaccio;2;0;H;1;0;H;lut.37;03.sty;lut.62;lut.35;03.sty;lut.65;02.sty;02.wrz;03.lut;;;;lut.38;03.sty;02.cze;lut.37;03.sty;02.cze;02.mar;03.lut;lut.62;02.sty;01.cze;lut.35;sty.43;-0.5;;;
F1;15.05.2004;Lille;Bastia;2;0;H;0;0;D;lut.25;3;lut.87;lut.25;lut.85;03.maj;02.mar;02.sie;02.wrz;;;;02.mar;lut.88;02.wrz;02.mar;lut.87;02.wrz;02.mar;02.wrz;02.wrz;02.mar;01.maj;lut.25;sty.47;-0.5;;;
F1;15.05.2004;Metz;Bordeaux;3;1;H;0;1;A;02.sty;3;03.lut;2;3;mar.45;sty.85;03.sty;03.cze;;;;2;3;03.kwi;2;3;03.kwi;2;3;03.kwi;02.lut;sty.55;2;01.cze;-0.5;;;
F1;15.05.2004;Monaco;Rennes;1;4;A;1;1;D;sty.33;4;8;sty.25;04.maj;10;01.mar;04.lut;8;;;;sty.29;04.maj;8;sty.28;04.maj;8;sty.25;5;8;sty.75;01.wrz;sty.25;03.sty;-0.5;;;
F1;15.05.2004;Montpellier;Strasbourg;1;2;A;0;0;D;02.sie;lut.87;lut.37;02.wrz;02.wrz;02.mar;03.lut;02.wrz;02.sty;;;;lut.88;3;lut.25;lut.87;3;lut.25;lut.75;03.sty;02.mar;;;sty.45;02.mar;0.5;;;
F1;15.05.2004;Paris SG;Lyon;1;0;H;1;0;H;02.kwi;lut.87;lut.75;lut.35;3;lut.75;02.mar;02.wrz;02.sie;;;;02.mar;3;02.sie;02.mar;3;02.sie;lut.37;3;02.lip;2;sty.65;sty.77;02.maj;0;sty.75;lut.15;0
